		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100101000   16   14   18   16   17   15   17   10  3.108385 0.927373 SUCCESS  77
100110000    7    6    8    7   10   11    6    8 29.471013 0.000262 FAILURE  78
100111000   26   33   31   30   35   29   30   28 132.333041 0.000000 FAILURE  79
101000000   14    9   12   10   13   10    7    7 15.648436 0.047698 SUCCESS  80
101000100    6    7    7    5    4    6    7    4 47.847880 0.000000 FAILURE  81
101001000   12   10    8   12   12   11   16   10  9.804887 0.278988 SUCCESS  82
101001100   11   12    7    8    7    8   12    8 21.216196 0.006595 FAILURE  83
101010000   16   17   10   18   16   13   11   17  4.408957 0.818471 SUCCESS  84
101010100    8    6    8    7    7    7    9    8 31.326933 0.000123 FAILURE  85
101011000   24   28   29   22   32   22   25   22 67.864667 0.000000 FAILURE  86
101011100   10   12   14    9   12   16   11   13  6.920414 0.545243 SUCCESS  87
101100000   24   27   28   27   27   26   28   27 77.122452 0.000000 FAILURE  88
101100100   17   21   28   33   25   19   19   27 55.908514 0.000000 FAILURE  89
101101000   23   23   24   26   23   22   24   23 40.669286 0.000002 FAILURE  90
101101100   12   14   12   15   17   13   15   13  2.120500 0.977093 SUCCESS  91
101110000    9   11   12    8   12   10   13   12 10.762607 0.215516 SUCCESS  92
101110100   12   12   12   12   14   13   13   13  3.342698 0.911049 SUCCESS  93
101111000   24   25   19   28   21   28   22   23 47.291992 0.000000 FAILURE  94
101111100   15   11   11   14   13   12   12   14  3.827214 0.872367 SUCCESS  95
110000000   17   18   22   17   20   18   23   16 11.434843 0.178256 SUCCESS  96
110000010   14   19   19   19   17   17   11   13  5.326009 0.722231 SUCCESS  97
110000100   11    9   10    8   18   12   12   14 10.568963 0.227338 SUCCESS  98
110001000   17   16   16   14   17   17   16   14  1.185403 0.996784 SUCCESS  99
110001010   13   10   11   12   15   10   14    8  8.843396 0.355679 SUCCESS 100
110010000    7   10   15    7   10    8    9    8 21.424923 0.006100 FAILURE 101
110010010   19   17   23   21   18   17   18   28 21.519995 0.005887 FAILURE 102
110010100   17   18   19   19   19   19   16   15  5.419465 0.711945 SUCCESS 103
110011000    9   12   13    9   13   15   13   13  6.644625 0.575414 SUCCESS 104
110011010   14   17   13   15   13   17   17   16  1.520713 0.992358 SUCCESS 105
110100000   12    9   13   11    9   11   10   10 11.448309 0.177568 SUCCESS 106
110100010   16    7   13   12   11    7   13   12 11.735410 0.163405 SUCCESS 107
110100100    8    8    5    7    7    7   12   11 28.509522 0.000386 FAILURE 108
110101000   15   18   12   15   11   17   13   17  3.167906 0.923383 SUCCESS 109
110101010   11    8    9   13   10   11   14    9 12.551465 0.128243 SUCCESS 110
110101100   22   29   24   29   30   25   20   26 68.624972 0.000000 FAILURE 111
110110000   12   11   15   14   13   14   18   16  2.813743 0.945497 SUCCESS 112
110110010   22   20   29   22   25   21   21   19 35.067591 0.000026 FAILURE 113
110110100   11   11    9   12   12   12   11    9 10.073135 0.259930 SUCCESS 114
110111000   15   12    8   10    7    9   11    8 17.023610 0.029864 SUCCESS 115
110111010    6    3    3    4    5    4    6    6 60.034576 0.000000 FAILURE 116
110111100   21   25   24   26   20   33   24   24 58.681486 0.000000 FAILURE 117
111000000   11   15   17   21   12   15   16   13  4.826411 0.775958 SUCCESS 118
111000010   40   41   41   41   44   40   45   46 412.715657 0.000000 FAILURE 119
111000100   15   11    9   10   12   11    8    9 12.827254 0.117933 SUCCESS 120
111000110   33   28   26   29   29   25   30   29 105.488051 0.000000 FAILURE 121
111001000    6   13   12    7    9    6    6   10 26.172857 0.000981 FAILURE 122
111001010   21   22   23   23   24   27   23   24 40.322664 0.000003 FAILURE 123
111001100    6    9    8    9    9   14    6    9 24.451061 0.001925 FAILURE 124
111010000    8    8    8   10    7    7    9   12 23.690756 0.002582 FAILURE 125
111010010    8    7    7    9   12   11    9   13 19.084487 0.014414 SUCCESS 126
111010100   22   22   22   25   22   24   23   21 33.002944 0.000062 FAILURE 127
111010110   14   20   18   18   17   14   16   17  3.749649 0.878975 SUCCESS 128
111011000    0    2    2    3    2    4    5    1 88.958486 0.000000 FAILURE 129
111011010   11   12    8   11    9   18   12    7 14.280803 0.074734 SUCCESS 130
111011100   13    8    4    8    7    7    8    6 33.052500 0.000060 FAILURE 131
111100000   12   16   14   24   11   14   14   14  7.651363 0.468245 SUCCESS 132
111100010   22    9   12    9   10   10   12    9 15.462332 0.050755 SUCCESS 133
111100100    9   11   14    7    6    7    8   13 21.633650 0.005642 FAILURE 134
111100110   16   21   20   22   24   31   22   21 36.856449 0.000012 FAILURE 135
111101000   11    4    7   10    8    8    9   13 25.002639 0.001553 FAILURE 136
111101010   12   15   20   14   14   14   14   10  4.330583 0.826134 SUCCESS 137
111101100    8    6   10    7    5    7   10    7 32.430089 0.000078 FAILURE 138
111101110   10    8    7    5    7    7   10    7 31.259871 0.000126 FAILURE 139
111110000   12    9   12   10   10    7    9   11 15.093087 0.057361 SUCCESS 140
111110010   16   19   19   16   19   16   17   19  4.934949 0.764506 SUCCESS 141
111110100   13    4    5   10    7    7    8   10 31.058685 0.000137 FAILURE 142
111110110    6    7    4    6    6    7    8    3 47.091345 0.000000 FAILURE 143
111111000   16   12   11    9   14    9   11   10  9.599931 0.294235 SUCCESS 144
111111010   15    8   13   12   11   14   12   12  6.644625 0.575414 SUCCESS 145
111111100   13   13   11    9   15   11   10    9  9.391204 0.310376 SUCCESS 146
111111110    9   11   11    9   11    9    9    8 16.535324 0.035328 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   28   24   25   22   27   26   21   24 53.993073 0.000000 FAILURE   0
000000011   18   18   17   17   19   13   14   14  3.328424 0.912090 SUCCESS   1
000000101   18   17   19   18   19   21   20   18  8.606121 0.376604 SUCCESS   2
000000111   14   10   10   11   11   10    6   10 14.683174 0.065607 SUCCESS   3
000001001    6    3    5    5    7    5    2    4 60.448259 0.000000 FAILURE   4
000001011   19   20   19   18   18   24   19   17 12.198919 0.142547 SUCCESS   5
000001101    8    9   14   11   14   11   12   14  8.843396 0.355679 SUCCESS   6
000001111   13   14    9   14   13   11    8    9 10.080676 0.259409 SUCCESS   7
000010001    9   14   14   15   10   15   15   13  4.591290 0.800232 SUCCESS   8
000010011   11    3    7    6    8    6    4    8 41.586877 0.000002 FAILURE   9
000010101   14   19   14   14   15   13   16   13  1.926856 0.983173 SUCCESS  10
000010111   41   44   43   43   46   44   41   41 430.582422 0.000000 FAILURE  11
000011001   10   13    9   12   13    7    8   10 14.821069 0.062719 SUCCESS  12
000011011    7    6   10    7    9   10   11   11 22.453476 0.004142 FAILURE  13
000011101   17   18   15   18   11   15   13   11  3.995273 0.857550 SUCCESS  14
000011111    7    4    5    7    8   14    9   10 31.610263 0.000109 FAILURE  15
000100011   15   14   15   15   13   16   18   15  1.036197 0.998009 SUCCESS  16
000100101   17   14   17   14   15   17    9   15  3.443695 0.903515 SUCCESS  17
000100111    6    4    8    5    8    9    6    4 43.856480 0.000001 FAILURE  18
000101001    6   11   13    8    9    8    8    9 21.972730 0.004967 FAILURE  19
000101011   13   14   12    9   11    9   11   12  8.701731 0.368079 SUCCESS  20
000101101   14   17   22   17   18   14   21   16  7.275385 0.507233 SUCCESS  21
000101111   19   18   18   21   15   20   15   22  9.981295 0.266341 SUCCESS  22
000110011   12   13   13   11   14   14   13   12  3.275636 0.915888 SUCCESS  23
000110101   14   14   11   13   12    8   11   11  7.673178 0.466028 SUCCESS  24
000110111   10   10   12   14   11   10   16   13  7.263265 0.508513 SUCCESS  25
000111001   12   12   12   11   10   14   10   16  6.506731 0.590661 SUCCESS  26
000111011   18   21   16   22   19   19   22   15 12.195148 0.142707 SUCCESS  27
000111101    9    8    4    9    9    6   12   11 26.377813 0.000905 FAILURE  28
000111111    7    7    6    8    6   14    8    8 30.093424 0.000203 FAILURE  29
001000011   12   16   17   19   17   13   14   18  3.320883 0.912638 SUCCESS  30
001000101   13   23   19   18   14   20   17   15  8.516435 0.384714 SUCCESS  31
001000111   13   16   15   13   13   18   14   14  1.647296 0.989984 SUCCESS  32
001001011   22   17   18   19   19   23   23   19 16.484960 0.035942 SUCCESS  33
001001101   10    4    8    4    8    4    9    8 39.246441 0.000004 FAILURE  34
001001111   10   11   16   12   14   13   15   12  4.449625 0.814452 SUCCESS  35
001010011    5    8    6    4    8    6    6    6 44.199331 0.000001 FAILURE  36
001010101   28   24   26   28   22   22   28   24 61.379855 0.000000 FAILURE  37
001010111   16   18   16   19   19   15   11   18  4.711140 0.787956 SUCCESS  38
001011011   13   16   15   18   16   17   16   19  2.501057 0.961682 SUCCESS  39
001011101    9   20   17   21   18   20   17   15  9.615821 0.293032 SUCCESS  40
001011111   12   15   10   10   13   14   11   13  5.750196 0.675190 SUCCESS  41
001100101   10   14    7   14   12   14    9   19 10.509442 0.231073 SUCCESS  42
001100111   10   14   11   12   12   11   11   13  6.570022 0.583652 SUCCESS  43
001101011   16   12   16   14   14    8   10    9  8.441024 0.391616 SUCCESS  44
001101101    6    6   10   10    9   10    7   10 24.860974 0.001641 FAILURE  45
001101111   14   19   19   17   14   16   20   19  5.549818 0.697515 SUCCESS  46
001110101   13   11   18   12   11   10   17   13  5.970235 0.650566 SUCCESS  47
001110111   14   15    9   14   11   12   13    9  7.058309 0.530355 SUCCESS  48
001111011    8    5    8    6    8    5   10    7 35.527060 0.000021 FAILURE  49
001111101   14   16   10   13   14   17   16   14  2.608787 0.956465 SUCCESS  50
001111111    9    9   10   11   12   17   11   11 10.837211 0.211095 SUCCESS  51
010000011   14   14   15   19   18   13   14   13  2.482204 0.962556 SUCCESS  52
