		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000011   14   18   13   19   15   22   16   23  9.966213 0.267405 SUCCESS  30
001000101   11   13   11   13   12   15   16    9  5.891861 0.659344 SUCCESS  31
001000111   12   18   13    9   19   20   14   11  7.990443 0.434404 SUCCESS  32
001001011   20   22   22   17   28   19   20   22 26.708006 0.000794 FAILURE  33
001001101    5    6   10    5    4    6    6    5 47.367134 0.000000 FAILURE  34
001001111   13   15   18   18   12   13   15   14  2.478434 0.962729 SUCCESS  35
001010011    8    6    3    6    6    7    9    4 45.164593 0.000000 FAILURE  36
001010101   25   22   20   23   19   24   23   26 35.969561 0.000018 FAILURE  37
001010111   19   15   15   15   17   13   18   19  3.399256 0.906866 SUCCESS  38
001011011   18   21   22   23   18   18   22   20 17.316098 0.026981 SUCCESS  39
001011101   20   20   17   14   17   23   20   12 10.868183 0.209281 SUCCESS  40
001011111   15   13   10   12   17    7   14   14  7.412471 0.492853 SUCCESS  41
001100101   16   10    8    9   16   13   12   13  8.850937 0.355026 SUCCESS  42
001100111   11   12   11   13   12   12   14   10  6.089277 0.637232 SUCCESS  43
001101011   12   14   18   14   13   18   13    9  5.016285 0.755834 SUCCESS  44
001101101   10    5    9    3   14    7   11    6 32.094779 0.000090 FAILURE  45
001101111   23   15   19   21   20   14   17   19 11.222346 0.189416 SUCCESS  46
001110101    8    8   18   17   10   14   11   15 10.513212 0.230835 SUCCESS  47
001110111   11   15    9    7    9    8    9    6 21.838606 0.005224 FAILURE  48
001111011    5    7    7   10    6    7    5    7 38.624030 0.000006 FAILURE  49
001111101   14   14   13   10   13   13   11   13  4.032171 0.854209 SUCCESS  50
001111111   12   13   10   11   10   14   12   11  7.188662 0.516421 SUCCESS  51
010000011   19   15   14   16   20   12   17   15  3.876231 0.868114 SUCCESS  52
010000111   14   16   14   18   16   22   15   19  5.404383 0.713609 SUCCESS  53
010001011   18   19   12   14   12   25   17   11 11.322535 0.184085 SUCCESS  54
010001111   12   18   16   17   16   16   19   14  2.910970 0.939820 SUCCESS  55
010010011   15   13   16   15   12   20   14   11  3.853608 0.870084 SUCCESS  56
010010111   11   15   14   13   16   17   11   14  2.947867 0.937586 SUCCESS  57
010011011   12    5    7    1   10    3    7    5 48.269104 0.000000 FAILURE  58
010011111   13   19   12   13   15   12   14    9  5.422427 0.711618 SUCCESS  59
010100011    5   11   15   14    4    8   11    9 23.292154 0.003009 FAILURE  60
010100111    8    9    6    9   10   10   11    6 23.966545 0.002322 FAILURE  61
010101011   32   24   24   29   25   31   29   29 96.375702 0.000000 FAILURE  62
010101111   23   13   13   15   18   18   17   15  6.503768 0.590990 SUCCESS  63
010110011   20   24   19   21   20   18   20   23 19.459118 0.012588 SUCCESS  64
010110111    8   16   10   19    9    9   16   13 11.545536 0.172662 SUCCESS  65
010111011    8   11    6    5    7   10   10   10 26.444875 0.000881 FAILURE  66
010111111   15   11   12   14   20    8   15   13  7.147994 0.520753 SUCCESS  67
011000111   22   21   24   21   23   21   19   18 22.638233 0.003861 FAILURE  68
011001111   20   24   20   22   18   24   20   24 26.022304 0.001041 FAILURE  69
011010111    8    6   13    7    8   12    8    3 30.853729 0.000149 FAILURE  70
011011111   11    9   10   11   10   10    7   10 15.916684 0.043588 SUCCESS  71
011101111   11   13    7   10    9   13   15   16 10.293174 0.245049 SUCCESS  72
011111111   11   10   10   13   12   10    9   15  9.596160 0.294521 SUCCESS  73
100000000   23   27   23   28   23   27   25   27 61.726477 0.000000 FAILURE  74
100010000    9    9    7    9   11   10   11   12 16.330367 0.037888 SUCCESS  75
100100000    6    7    9    9    5    5    8    5 38.899819 0.000005 FAILURE  76
100101000   14   17   14   20   12   21   13   16  5.598027 0.692157 SUCCESS  77
100110000   10    8    6   10    7   10    6    9 26.511937 0.000858 FAILURE  78
100111000   34   30   32   33   31   30   28   35 155.313213 0.000000 FAILURE  79
101000000    7   11   12   11    8   10    9    9 17.224796 0.027852 SUCCESS  80
101000100    4    5    4    7   10    4    8    6 46.886389 0.000000 FAILURE  81
101001000   11   15   15   10    9   13   13   11  6.920414 0.545243 SUCCESS  82
101001100   13    7   12    9   11   11    8   13 13.583789 0.093280 SUCCESS  83
101010000   11   14   20   10   12    9   15   13  7.967820 0.436620 SUCCESS  84
101010100    8    8    9    8    4    5    7   11 33.257456 0.000055 FAILURE  85
101011000   25   26   22   24   27   26   25   25 56.411882 0.000000 FAILURE  86
101011100   14    9   13   13    9   12   14   16  6.305545 0.613048 SUCCESS  87
101100000   22   27   27   24   29   26   27   29 74.289959 0.000000 FAILURE  88
101100100   23   21   25   19   21   21   21   19 23.536432 0.002740 FAILURE  89
101101000   23   25   24   23   23   25   22   21 38.597098 0.000006 FAILURE  90
101101100   17   10   18   12   15   16   11   11  5.497030 0.703369 SUCCESS  91
101110000    4    7   12   11   10   11   10    9 21.424923 0.006100 FAILURE  92
101110100   16   12   12   13   12   14   15   15  2.254624 0.972194 SUCCESS  93
101111000   27   25   23   23   29   25   26   26 62.900465 0.000000 FAILURE  94
101111100   17   15   14   11   11   12   13   11  4.520457 0.807383 SUCCESS  95
110000000   22   18   18   21   20   21   20   24 18.698813 0.016556 SUCCESS  96
110000010   12   17   15   20   16   15   13   13  3.242509 0.918230 SUCCESS  97
110000100   13    9   10    8   10   15   11   11 11.727869 0.163765 SUCCESS  98
110001000   14   18   13   12   17   17   15   13  2.411372 0.965736 SUCCESS  99
110001010   17    9   11   10    9   15   10   13 10.017385 0.263808 SUCCESS 100
110010000   10   10   11   14    8   14   11   12  9.734055 0.284190 SUCCESS 101
110010010   17   23   19   19   18   20   19   17 10.678309 0.220601 SUCCESS 102
110010100   17   19   17   20   17   21   20   15  7.909107 0.442399 SUCCESS 103
110011000   10    9   14   12    7   17    8    9 15.380188 0.052161 SUCCESS 104
110011010   14   13   16   14   16   13   19   14  1.997688 0.981083 SUCCESS 105
110100000    8   14   10   13   12   11   11   11  9.320371 0.315995 SUCCESS 106
110100010   10   15   12   13   11   13   10   11  6.778749 0.560681 SUCCESS 107
110100100    9    9   11    8    6    9    9   11 21.007469 0.007128 FAILURE 108
110101000   12   12   16   12   13    9   16   11  5.824799 0.666850 SUCCESS 109
110101010   15   10   13   14   10   12   13   14  4.721643 0.786871 SUCCESS 110
110101100   24   23   30   22   26   25   27   24 59.792183 0.000000 FAILURE 111
110110000   11   13   13   15   14   14   12   16  2.459581 0.963589 SUCCESS 112
110110010   24   22   24   19   22   23   21   20 27.751641 0.000524 FAILURE 113
110110100   10   11   10    5   10   14   10    8 18.260890 0.019353 SUCCESS 114
110111000    5   13   13   10    9    4    8    7 27.689696 0.000537 FAILURE 115
110111010   10    8    6    4    7    5    5    8 40.483721 0.000003 FAILURE 116
110111100   25   24   25   25   27   25   31   27 70.838825 0.000000 FAILURE 117
111000000   18   15   14   12   16   14   15   18  2.072291 0.978715 SUCCESS 118
111000010   38   43   39   41   43   41   40   42 371.257621 0.000000 FAILURE 119
111000100    9   14    8   12   10    9    5    7 21.976501 0.004960 FAILURE 120
111000110   29   32   24   26   31   26   25   30 95.962019 0.000000 FAILURE 121
111001000    9    7   10   11    9   11    9    8 19.080716 0.014434 SUCCESS 122
111001010   22   20   19   25   20   25   28   17 33.751937 0.000045 FAILURE 123
111001100   11    5   13    9    7   12   10    7 21.838606 0.005224 FAILURE 124
111010000   12    7   10   11   14    8    9    6 19.293214 0.013368 SUCCESS 125
111010010   11   11    9    9    4    9    8   12 21.905668 0.005094 FAILURE 126
111010100   24   19   22   22   21   22   20   20 22.846960 0.003566 FAILURE 127
111010110   15   18   23   17   15   15   16   18  6.030564 0.643808 SUCCESS 128
111011000    3    1    4    2    6    3    3    2 80.349506 0.000000 FAILURE 129
111011010    9   12   10    7    9   13   11    9 15.506771 0.050009 SUCCESS 130
111011100    5   11    8    8   10    4    9    4 35.530830 0.000021 FAILURE 131
111100000   18   17   17   11   15   11   15   13  3.648652 0.887352 SUCCESS 132
111100010   14   14    4   16   12    8   15   14 12.574089 0.127368 SUCCESS 133
111100100    9   11   10   12   14   11   10    5 15.648436 0.047698 SUCCESS 134
111100110   22   19   21   21   19   23   28   22 30.095848 0.000203 FAILURE 135
111101000    7   11    7    8   14    7   12    9 20.806283 0.007680 FAILURE 136
111101010   18   13   14   16   11    9   13   14  4.941682 0.763791 SUCCESS 137
111101100    8    7    8    7    7    8    6    8 32.221362 0.000085 FAILURE 138
111101110    8    8    7   11    9    7    7    7 27.887112 0.000496 FAILURE 139
111110000   11   14   13    7    9    9    9   10 14.958963 0.059948 SUCCESS 140
111110010   18   17   16   21   19   20   16   15  6.384726 0.604220 SUCCESS 141
111110100    7   13    3    9   11    7   10    7 28.651187 0.000365 FAILURE 142
111110110    8    6    5    3    5    7    5    7 48.261563 0.000000 FAILURE 143
111111000    7   13   11   11    9    8   10   12 15.026025 0.058641 SUCCESS 144
111111010   15   22   10   14   19    7   15   16 10.752104 0.216145 SUCCESS 145
111111100    7    9   11   12   12    9    8   11 16.125411 0.040620 SUCCESS 146
111111110   11   10   10   13   12   10    9   15  9.596160 0.294521 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   23   23   24   26   25   23   26 49.438784 0.000000 FAILURE   0
000000011   19   17   20   17   19   18   13   16  5.482756 0.704950 SUCCESS   1
000000101   16   19   20   19   20   23   22   19 14.688561 0.065492 SUCCESS   2
000000111   11   14    9   10   11   13    6   13 12.555236 0.128096 SUCCESS   3
000001001    7    8    3    7    9    6    4    8 41.791833 0.000001 FAILURE   4
000001011   15   18   19   20   22   22   24   23 20.282715 0.009318 FAILURE   5
000001101   13    9   15   13   12   11   13    9  7.468222 0.487057 SUCCESS   6
000001111    9   11   11   13   10   15    9   16  9.190018 0.326521 SUCCESS   7
000010001   11    9   13    9   11   13   13   14  8.016029 0.431906 SUCCESS   8
000010011    7    6    5    9    9    4    6    8 39.037714 0.000005 FAILURE   9
000010101   15   13   16   17   13   16   17   16  1.315757 0.995361 SUCCESS  10
000010111   39   43   43   46   40   46   46   40 433.202417 0.000000 FAILURE  11
000011001   15   11   13    9   10   10   13    7 11.936596 0.154055 SUCCESS  12
000011011    9   11   11   12    5    9   11   11 16.814883 0.032095 SUCCESS  13
000011101   16   14   18   12   20   13   19   15  4.494871 0.809946 SUCCESS  14
000011111    6   10    4    8    7    6    7    9 35.802849 0.000019 FAILURE  15
000100011   16   12   18   14   20   14   18   15  3.805399 0.874240 SUCCESS  16
000100101   22   12   17   12   16   14   11   18  6.760704 0.562657 SUCCESS  17
000100111    5    7    6    9    7    7    6    6 39.242670 0.000004 FAILURE  18
000101001    9    9   11   11    9   11    7    8 18.462076 0.018017 SUCCESS  19
000101011   12   10   12    8   14   13   12    8 10.628484 0.223651 SUCCESS  20
000101101   17   18   17   19   14   20   20   18  6.455559 0.596341 SUCCESS  21
000101111   21   15   18   19   17   21   19   18  8.740245 0.364680 SUCCESS  22
000110011   15   13   15   13   12   12   14   11  2.936556 0.938276 SUCCESS  23
000110101   13   11   16    9   12    9   12   10  9.324142 0.315694 SUCCESS  24
000110111   14   12   13   16   13    9   14   14  3.901817 0.865871 SUCCESS  25
000111001   14   13   13   10    9   11   14   10  7.673178 0.466028 SUCCESS  26
000111011   16   19   20   15   23   18   17   19  9.358885 0.312931 SUCCESS  27
000111101    9    6    8    6    7   12    6   18 28.177983 0.000442 FAILURE  28
000111111    6   11    7   10   10    6    4   10 30.093424 0.000203 FAILURE  29
001000011   14   13   13   16   17   18   14   15  1.654837 0.989829 SUCCESS  30
001000101   16   13   15   20   15   14   16   17  2.493516 0.962033 SUCCESS  31
001000111   14   17   19   11   14   15   17   12  3.514528 0.898059 SUCCESS  32
001001011   32   21   17   24   19   16   21   25 38.921096 0.000005 FAILURE  33
001001101    6    9    6    9    6    4    6    9 38.005390 0.000008 FAILURE  34
001001111   10   14   13   18   11   17   12   11  5.765278 0.673505 SUCCESS  35
001010011    7    6    9    7    6    5    7    6 39.242670 0.000004 FAILURE  36
001010101   25   25   23   24   26   23   25   24 49.162995 0.000000 FAILURE  37
001010111   20   15   16   12   18   17   16   16  3.466318 0.901788 SUCCESS  38
001011011   25   19   16   14   17   13   23   15 13.141557 0.107071 SUCCESS  39
001011101   15   13   19   20   20   17   18   13  6.026793 0.644231 SUCCESS  40
001011111   12   10   11   12    9   15   10    8 11.589974 0.170457 SUCCESS  41
001100101   11   12    8   12   18   12   11   11  9.122956 0.332030 SUCCESS  42
001100111   15   11   15   10   11   11   11   11  7.192433 0.516020 SUCCESS  43
001101011   16   13   15   10   16   12   14   10  4.524228 0.807004 SUCCESS  44
001101101   13    8    9    8    7    7    6    7 28.233733 0.000432 FAILURE  45
001101111   19   19   24   22   17   17   20   20 15.240139 0.054641 SUCCESS  46
001110101   12   11   21   13   12   10   13   14  7.144223 0.521155 SUCCESS  47
001110111    7   14    9   13   17   11    9   12 11.668348 0.166626 SUCCESS  48
001111011    5    7    4    9    8   10    3   10 38.765695 0.000005 FAILURE  49
001111101   16   12   14    8   15   13   16   11  5.556551 0.696767 SUCCESS  50
001111111   14   13    9   17   10   16    8   16  8.310671 0.403726 SUCCESS  51
010000011   12   16   16   16   13   17   18   19  3.115926 0.926873 SUCCESS  52
010000111   13   14   12   13   19   18   15   10  4.677205 0.791454 SUCCESS  53
010001011   14   13   16   27   22   21   19   16 17.427598 0.025952 SUCCESS  54
010001111   18   18   16   14   18   15   18   25  9.556300 0.297558 SUCCESS  55
010010011   14   16   14   19   12   19   17   13  3.592901 0.891861 SUCCESS  56
010010111   19   10   15   18   11   10   12   15  6.875975 0.550071 SUCCESS  57
010011011    7   10   11    7   10    5    7    9 27.063515 0.000689 FAILURE  58
010011111   14   15   11   15   15   15   13    7  5.832340 0.666006 SUCCESS  59
010100011   11   12   12    9    8    6   11   16 14.895672 0.061206 SUCCESS  60
010100111   11    6    8   13   10   13   10    6 19.569003 0.012096 SUCCESS  61
010101011   27   27   25   25   30   28   29   30 90.028785 0.000000 FAILURE  62
010101111   19   17   18   16   18   20   16   13  4.789513 0.779818 SUCCESS  63
010110011   19   22   21   22   23   25   17   25 28.921859 0.000327 FAILURE  64
010110111   19   13   14    6   15    6   15    9 15.056190 0.058062 SUCCESS  65
010111011   10    8   11    6    5   10    9    8 26.169086 0.000983 FAILURE  66
010111111   14   16   14   14   12   17   12    8  5.146638 0.741794 SUCCESS  67
011000111   19   18   22   19   22   18   26   23 23.048146 0.003303 FAILURE  68
011001111   20   19   21   23   18   21   19   24 19.597013 0.011973 SUCCESS  69
011010111    6   10    9    5   11    8    7    8 28.852373 0.000337 FAILURE  70
011011111   10   10   13   13    8    9   15   11 10.904273 0.207182 SUCCESS  71
011101111    7   11   12   11   14   15    9   13 10.013614 0.264072 SUCCESS  72
011111111   11   12    9   11    9   12    8   12 12.342738 0.136554 SUCCESS  73
100000000   25   23   23   24   26   25   23   26 49.438784 0.000000 FAILURE  74
100010000    8    8    8    7    6    7   11    8 28.919435 0.000328 FAILURE  75
100100000    7    6    5    8    7    5    7    5 42.753324 0.000001 FAILURE  76
100101000   12   16   12   18   18   16   17   11  3.999044 0.857210 SUCCESS  77
100110000    7    9   10   10    5   10    8   10 23.966545 0.002322 FAILURE  78
100111000   32   33   30   27   33   30   30   28 132.955451 0.000000 FAILURE  79
101000000   11   10   10   10   15    8   10   10 13.032211 0.110746 SUCCESS  80
101000100    5    7    3    8    3    4    4    6 56.661816 0.000000 FAILURE  81
101001000   12   14   12   12   12   10   12   17  5.135327 0.743019 SUCCESS  82
101001100   11   17   17   10    7    8    9   13 13.874660 0.085091 SUCCESS  83
101010000   16   18   19   17   18   10   12   14  5.109741 0.745785 SUCCESS  84
101010100    8   11    6   10    8    4    4    7 36.149470 0.000016 FAILURE  85
101011000   24   24   26   24   24   26   29   25 59.587227 0.000000 FAILURE  86
101011100   12   13   10   11   15   14   13   14  4.103003 0.847713 SUCCESS  87
101100000   27   26   28   26   29   30   30   27 92.928340 0.000000 FAILURE  88
101100100   18   22   22   26   23   22   20   16 25.396123 0.001332 FAILURE  89
101101000   23   23   24   23   25   25   25   25 46.539229 0.000000 FAILURE  90
101101100   14   12   13   16   15   11   13   12  3.007388 0.933893 SUCCESS  91
101110000   11   14    8    7   13    8   15   10 14.277032 0.074824 SUCCESS  92
101110100   17   12   15   11   17   11   13   14  3.704402 0.882760 SUCCESS  93
101111000   27   23   26   23   21   24   22   25 45.570196 0.000000 FAILURE  94
101111100   15   13   12   10   13   12   14   13  3.827214 0.872367 SUCCESS  95
110000000   19   19   18   21   18   20   15   23 12.128086 0.145580 SUCCESS  96
110000010   10   14   16   15   17   23   17   19  7.949775 0.438392 SUCCESS  97
110000100   15   11    9   12   12   10    9   16  9.052123 0.337918 SUCCESS  98
110001000   16   15   17   17   22   14   20   16  5.892669 0.659253 SUCCESS  99
110001010    8   12    8   11   15   11   11   10 12.346509 0.136400 SUCCESS 100
110010000   12    8   12   11   12   14   11    6 13.035981 0.110618 SUCCESS 101
110010010   25   23   16   24   17   17   21   18 20.692628 0.008010 FAILURE 102
110010100   13   17   17   19   19   18   18   16  4.375830 0.821724 SUCCESS 103
110011000   13    8   14   15   11   14   13   13  5.411116 0.712866 SUCCESS 104
110011010   15   18   14   13   13   16   15   15  1.308216 0.995453 SUCCESS 105
110100000   11   11   10   11   14   11   11   11  8.355109 0.399573 SUCCESS 106
110100010    9    7   11   13   12    9   11    8 15.782560 0.045600 SUCCESS 107
110100100   11   14    7   10    7    8   11   12 16.747821 0.032845 SUCCESS 108
110101000   16   17   17   16   13   14   16   14  1.177862 0.996856 SUCCESS 109
110101010   10   13    8   11   12    9    8   13 13.170105 0.106129 SUCCESS 110
110101100   19   23   27   26   26   28   24   21 51.987947 0.000000 FAILURE 111
110110000   17   15   16   18   18   16   17   16  2.024082 0.980265 SUCCESS 112
110110010   18   21   25   19   21   20   20   19 18.214297 0.019676 SUCCESS 113
110110100    9   10   11    7   12   12    8    8 17.638480 0.024106 SUCCESS 114
110111000   12   15   11    9   11    4   11    8 18.059704 0.020783 SUCCESS 115
110111010   10    7    7    7    9    3    5    7 38.556968 0.000006 FAILURE 116
110111100   26   23   29   24   21   23   24   26 52.819084 0.000000 FAILURE 117
111000000   19   15   15   13   13   16   13   17  2.277248 0.971311 SUCCESS 118
111000010   43   42   40   44   42   41   41   40 392.366791 0.000000 FAILURE 119
111000100    9   10   15   10   15    7   11   12 12.007429 0.150873 SUCCESS 120
111000110   30   33   29   25   26   25   30   24 94.788030 0.000000 FAILURE 121
111001000   11    6    8   14    7   12    7   12 20.120581 0.009889 FAILURE 122
111001010   28   22   25   21   24   24   27   24 51.231412 0.000000 FAILURE 123
111001100   13    4   11   12   10    8    9    8 21.219966 0.006586 FAILURE 124
111010000   11    9    8    8    9   11    7   11 19.356505 0.013065 SUCCESS 125
111010010    9    8   11   10    8    7   10   10 19.837251 0.010970 SUCCESS 126
111010100   22   21   24   24   20   23   24   23 33.278733 0.000055 FAILURE 127
111010110   12   12   21   16   22   16   14   13  7.595612 0.473934 SUCCESS 128
111011000    2    1    3    1    4    4    2    4 85.101211 0.000000 FAILURE 129
111011010    6   14   11    7   14   14    9   11 14.828610 0.062565 SUCCESS 130
111011100    8   12    7    4    9    5    9    3 38.422844 0.000006 FAILURE 131
111100000   21    8   17   12   13   16   11   17  8.471189 0.388846 SUCCESS 132
111100010    9   14   16   11   10    8   12   10 11.113000 0.195378 SUCCESS 133
111100100   11    7    8   14    5   11    8   13 20.534264 0.008493 FAILURE 134
111100110   23   22   22   29   23   20   21   23 37.833022 0.000008 FAILURE 135
111101000    9    7    9    9   10    8   11    6 23.552861 0.002722 FAILURE 136
111101010   14   14   14   12    8   20   14   14  6.048608 0.641787 SUCCESS 137
111101100    6    5    8    7    8   14    5   10 32.228903 0.000085 FAILURE 138
111101110    8    9   10    5    8    5    8    5 34.908420 0.000028 FAILURE 139
111110000   15    3    9   10   12   10   11   13 17.787686 0.022876 SUCCESS 140
111110010   19   21   16   17   18   20   18   17  7.219634 0.513132 SUCCESS 141
111110100    7    8    9    8   11    9    9    5 26.511937 0.000858 FAILURE 142
111110110    2    7    7    3    7    6    9    7 47.162178 0.000000 FAILURE 143
111111000    9   10   12    9   10    8    8   14 15.782560 0.045600 SUCCESS 144
111111010   12   14   11   17   15   15   13   10  4.043482 0.853179 SUCCESS 145
111111100   11   11   11   14    8    8    6   13 15.924225 0.043478 SUCCESS 146
111111110   11   12    9   11    9   11    8   12 12.823484 0.118069 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   27   23   24   23   27   24   28   24 57.239249 0.000000 FAILURE   0
000000011   19   18   18   15   21   15   18   15  5.482756 0.704950 SUCCESS   1
000000101   15   16   15   17   17   19   21   16  4.304997 0.828611 SUCCESS   2
000000111   11   12   13    6   13    7   13    6 18.059704 0.020783 SUCCESS   3
000001001    4    5    3    5    8    8    4    7 51.429366 0.000000 FAILURE   4
000001011   17   16   22   16   22   15   25   20 15.851238 0.044560 SUCCESS   5
000001101   14    9   17   11   12   13   10   12  7.129141 0.522766 SUCCESS   6
000001111    9   12   15    7   14    8   14    9 13.453436 0.097172 SUCCESS   7
000010001    9    9   14   10   10    9   10   13 12.894316 0.115538 SUCCESS   8
000010011    7    7    8    6    8    6    6   11 33.324518 0.000054 FAILURE   9
000010101   12   12   15   15   11   15   11   11  4.516687 0.807761 SUCCESS  10
000010111   45   41   42   37   46   38   45   39 397.193099 0.000000 FAILURE  11
000011001   10   14    7   14   12   10   13   11  9.942782 0.269065 SUCCESS  12
000011011   11    7   11   13    9   15    9   11 12.898087 0.115405 SUCCESS  13
000011101   14   15   14   18   17   17   15   14  1.386589 0.994435 SUCCESS  14
000011111    9    4    7    8    3    5    8    9 41.173193 0.000002 FAILURE  15
000100011   16   11   15   12   14   14   17   13  2.467122 0.963246 SUCCESS  16
000100101   16   13   11   18   14   18   14   13  3.097074 0.928119 SUCCESS  17
000100111    7    8    7    7    8    9    5   10 30.984082 0.000141 FAILURE  18
000101001    6   10    9   11   11    9    9   13 17.157734 0.028508 SUCCESS  19
000101011   13    6   10    8    9   13    7    7 22.457246 0.004136 FAILURE  20
000101101   16   21   20   18   18   14   20   17  7.629547 0.470467 SUCCESS  21
000101111   22   16   19   11   19   13   19   15  8.162273 0.417782 SUCCESS  22
000110011   10   16   11   12   13   12   15   14  4.449625 0.814452 SUCCESS  23
000110101   13   15   14   11   10   13   12   11  5.131556 0.743427 SUCCESS  24
000110111   13   12   13   14   14   19   16   12  3.089532 0.928614 SUCCESS  25
000111001   14   14   17   13   13   16   12   15  1.643525 0.990061 SUCCESS  26
000111011   16   17   17   20   21   16   18   21  8.047001 0.428892 SUCCESS  27
000111101    9    7    9    7   13    9    7    7 25.274657 0.001396 FAILURE  28
000111111    8    8    9    6    7    8    7    6 32.497151 0.000076 FAILURE  29
001000011   18   16   14   14   16   20   20   13  4.640307 0.795237 SUCCESS  30
001000101   16   17   13   11   13   11    9   16  5.627384 0.688890 SUCCESS  31
001000111   15   15   16   12   10   18   17   10  5.020056 0.755430 SUCCESS  32
001001011   19   17   18   22   18   23   20   21 14.688561 0.065492 SUCCESS  33
001001101    7    5    7    8    5    6    8    9 37.315918 0.000010 FAILURE  34
001001111   12   12   11   16   15   14   12   15  3.078221 0.929353 SUCCESS  35
001010011    5    9    8    6    8    7    8    7 33.805264 0.000044 FAILURE  36
001010101   24   24   22   23   24   22   26   24 41.981169 0.000001 FAILURE  37
001010111   15   14   17   14   14   23   10   10  8.337065 0.401256 SUCCESS  38
001011011   21   17   19   20   19   16   19   23 12.336813 0.136797 SUCCESS  39
001011101   16   19   20   13   17   16   18   23  8.591038 0.377960 SUCCESS  40
001011111   11   10   12   10   12   10   12   12  8.697960 0.368413 SUCCESS  41
001100101   10   15    7   13   10   14   13   17  8.716813 0.366746 SUCCESS  42
001100111   11   15   12   12   14   13   13   11  4.032171 0.854209 SUCCESS  43
001101011   12   13   16   15   13   15   14   12  1.911773 0.983598 SUCCESS  44
001101101   10   13    4    7    5   15    7   12 26.594081 0.000831 FAILURE  45
001101111   20   19   22   19   24   26   21   19 24.915377 0.001607 FAILURE  46
001110101   17   12   14   17   11   15   15    8  5.701987 0.680573 SUCCESS  47
001110111   11   11    8   11    9    7    5   16 20.467202 0.008706 FAILURE  48
001111011    6    7    5    4   10    7    8    5 41.516044 0.000002 FAILURE  49
001111101   15   18   12   20   13   18   14   15  3.939523 0.862538 SUCCESS  50
001111111   12   12    8   11    9   12   13    9 11.519142 0.173982 SUCCESS  51
010000011   11   16   15   17   12   17   17   16  2.690931 0.952233 SUCCESS  52
010000111   18   17   16   15   15   16   15   13  1.319527 0.995315 SUCCESS  53
010001011   20   24   17   13   18   13   19   18 10.521561 0.230309 SUCCESS  54
010001111   18   18   17   20   16   22   18   15  7.353758 0.498989 SUCCESS  55
010010011   13   17   11   16   13   13   19   13  3.644881 0.887659 SUCCESS  56
010010111   12   12   14   15   15   15   15   16  1.367736 0.994692 SUCCESS  57
010011011    6   11    6    7    7   12    3   12 32.161841 0.000087 FAILURE  58
010011111   17   10   16   13   13   15   12   12  3.838526 0.871390 SUCCESS  59
010100011    7    9   11   10   14    8    8   11 17.571418 0.024679 SUCCESS  60
010100111   11   10   11    7   12   10   15    9 13.103043 0.108353 SUCCESS  61
010101011   25   24   29   26   27   27   27   29 77.811924 0.000000 FAILURE  62
010101111   18   18   15   16   16   20   13    9  5.870046 0.661786 SUCCESS  63
010110011   25   17   23   22   18   21   16   24 23.804680 0.002471 FAILURE  64
010110111   18    9   14   11   12    6   10   13 12.428653 0.133079 SUCCESS  65
010111011   12    5   18   11    7   11    4   13 23.299696 0.003000 FAILURE  66
010111111   11   21   10   12   17   17   10    9 10.662418 0.221570 SUCCESS  67
011000111   22   20   22   23   20   25   17   26 30.233742 0.000192 FAILURE  68
011001111   19   21   20   22   19   19   21   24 19.045435 0.014619 SUCCESS  69
011010111    6   10    6   12    6    9    9    5 30.849958 0.000149 FAILURE  70
011011111   14    7   14   12   10   11    9    9 12.898087 0.115405 SUCCESS  71
011101111   14    8   11   11   11    7    6   17 16.964090 0.030485 SUCCESS  72
011111111   10    9    7   12   12    9   12    8 16.263305 0.038763 SUCCESS  73
100000000   27   23   24   23   27   24   28   24 57.239249 0.000000 FAILURE  74
100010000    9   13    9   10    9   12   10   12 12.342738 0.136554 SUCCESS  75
100100000    3    5    4    6    7    4    7    5 54.664231 0.000000 FAILURE  76
100101000   16   15   16   13   16   11   19   13  2.962950 0.936661 SUCCESS  77
100110000    9    4   11    8    8    7    9    8 28.852373 0.000337 FAILURE  78
100111000   31   34   31   31   31   26   30   27 129.504318 0.000000 FAILURE  79
